TaxID	phylum	class	order	family	genus
12967		Bigyra	Opalinata	Blastocystidae	Blastocystis
6668	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia
5758	Evosea		Mastigamoebida	Entamoebidae	Entamoeba
5073	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium
29832	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora
36910	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora
6247	Nematoda	Chromadorea	Rhabditida	Strongyloididae	Strongyloides
55193	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia
507510	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Hyphopichia
75735	Ascomycota	Saccharomycetes	Saccharomycetales		Starmerella
1535326	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida
4919	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia
66739	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia
265084	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia
27977	Microsporidia			Nosematidae	Nosema
5506	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium
215251	Basidiomycota	Exobasidiomycetes	Exobasidiales	Brachybasidiaceae	Meira
175340	Arthropoda	Arachnida	Araneae	Eresidae	Stegodyphus
7535	Arthropoda	Insecta	Hemiptera	Lygaeidae	Oncopeltus
437492	Arthropoda	Insecta	Hemiptera	Pentatomidae	Euschistus
42476	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Oscheius
1052105	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium
6033	Microsporidia			Unikaryonidae	Encephalitozoon
490731	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella
7215	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila
7456	Arthropoda	Insecta	Hymenoptera	Vespidae	Polistes
766728	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma
45785	Ascomycota	Saccharomycetes	Saccharomycetales		Nadsonia
5190	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus
189450	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema
49353	Nematoda	Chromadorea	Plectida	Plectidae	Plectus
5146	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria
114889	Nematoda	Chromadorea	Rhabditida	Alloionematidae	Rhabditophanes
186648	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Pezoloma
5475	Ascomycota	Saccharomycetes	Saccharomycetales		Candida
67608	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium
56479	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Ramalina
5052	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus
766502	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Millerozyma
604195	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera
5263	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Uromyces
7296	Arthropoda	Insecta	Diptera	Drosophilidae	Zaprionus
215249	Basidiomycota	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces
41443	Arthropoda	Arachnida	Sarcoptiformes	Acaridae	Tyrophagus
5620	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Zygoascus
27456	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera
45449	Arthropoda	Insecta	Diptera	Calliphoridae	Chrysomya
4958	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces
148959	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia
4930	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
52282	Arthropoda	Arachnida	Sarcoptiformes	Sarcoptidae	Sarcoptes
5498	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium
5806	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium
460517	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella
7126	Arthropoda	Insecta	Lepidoptera	Saturniidae	Samia
153220	Arthropoda	Insecta	Diptera	Cecidomyiidae	Contarinia
45234	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps
1904613	Basidiomycota	Exobasidiomycetes	Golubeviales	Golubeviaceae	Golubevia
1620264	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria
7118	Arthropoda	Insecta	Lepidoptera	Saturniidae	Antheraea
36986	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Coptotermes
37840	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis
51030	Nematoda	Chromadorea	Strongylida	Ancylostomatidae	Necator
300275	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea
599737	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces
4821	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Piromyces
108957	Arthropoda	Insecta	Hymenoptera	Agaonidae	Pleistodontes
1036680	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Acremonium
291363	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium
795339		Oomycetes	Pythiales	Pythiaceae	Phytopythium
326606	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon
1234310	Ascomycota	Dothideomycetes	Pleosporales	Nigrogranaceae	Nigrograna
