TaxID	phylum	class	order	family	genus	species
944168		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_3
944036		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_1
35525	Arthropoda	Branchiopoda	Diplostraca	Daphniidae	Daphnia	Daphnia_magna
944160		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_2
46681	Evosea		Mastigamoebida	Entamoebidae	Entamoeba	Entamoeba_dispar
303698	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_steckii
5077	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_citrinum
689838	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_thailandica
1231522	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	[Candida]_duobushaemulonis
45357	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	[Candida]_haemulonis
56407	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_occidentalis
174720	Nematoda	Chromadorea	Rhabditida	Strongyloididae	Strongyloides	Strongyloides_papillosus
76775	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	Malassezia	Malassezia_restricta
45354	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	[Candida]_intermedia
717740	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Hyphopichia	Hyphopichia_burtonii
29830	Ascomycota	Saccharomycetes	Saccharomycetales		Starmerella	Starmerella_apicola
29833	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_uvarum
5482	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_tropicalis
54552	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_occidentalis
45133	Ascomycota	Dothideomycetes	Botryosphaeriales	Botryosphaeriaceae	Lasiodiplodia	Lasiodiplodia_theobromae
1712568	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Preussia	Preussia_sp._BSL10
27978	Microsporidia			Nosematidae	Nosema	Nosema_bombycis
2421284	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_metavorans
211096	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycodaceae	Hanseniaspora	Hanseniaspora_opuntiae
286112	Basidiomycota	Exobasidiomycetes	Exobasidiales	Brachybasidiaceae	Meira	Meira_nashicola
407821	Arthropoda	Arachnida	Araneae	Eresidae	Stegodyphus	Stegodyphus_mimosarum
7536	Arthropoda	Insecta	Hemiptera	Lygaeidae	Oncopeltus	Oncopeltus_fasciatus
437493	Arthropoda	Insecta	Hemiptera	Pentatomidae	Euschistus	Euschistus_heros
141969	Nematoda	Chromadorea	Rhabditida	Rhabditidae	Oscheius	Oscheius_tipulae
33203	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Purpureocillium	Purpureocillium_lilacinum
27973	Microsporidia			Unikaryonidae	Encephalitozoon	Encephalitozoon_hellem
54551	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_terricola
948311	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_proliferatum
70109	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_paxilli
89924	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella_heveanensis
42026	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila_bipectinata
91411	Arthropoda	Insecta	Hymenoptera	Vespidae	Polistes	Polistes_canadensis
2028340	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Meyerozyma	Meyerozyma_sp._JA9
4909	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_kudriavzevii
121235	Ascomycota	Saccharomycetes	Saccharomycetales	Pichiaceae	Pichia	Pichia_manshurica
43970	Ascomycota	Saccharomycetes	Saccharomycetales		Nadsonia	Nadsonia_starkeyi
5191	Ascomycota	Pezizomycetes	Pezizales	Ascobolaceae	Ascobolus	Ascobolus_immersus
5418	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema_laurentii
2011161	Nematoda	Chromadorea	Plectida	Plectidae	Plectus	Plectus_sambesii
2153245	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sp._MA_6036
5147	Ascomycota	Sordariomycetes	Sordariales	Sordariaceae	Sordaria	Sordaria_macrospora
114890	Nematoda	Chromadorea	Rhabditida	Alloionematidae	Rhabditophanes	Rhabditophanes_sp._KR3021
1745343	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Pezoloma	Pezoloma_ericae
39397	Ascomycota	Saccharomycetes	Saccharomycetales		Candida	Candida_sake
196109	Ascomycota	Sordariomycetes	Xylariales	Microdochiaceae	Microdochium	Microdochium_bolleyi
475428	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Ramalina	Ramalina_peruviana
75750	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_sydowii
273371	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_orthopsilosis
4920	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Millerozyma	Millerozyma_farinosa
1667614	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera_xylosilytica
69788	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium_sclerotiorum
462795	Basidiomycota	Pucciniomycetes	Pucciniales	Pucciniaceae	Uromyces	Uromyces_transversalis
76712	Arthropoda	Insecta	Diptera	Drosophilidae	Zaprionus	Zaprionus_indianus
2495903	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	Fusarium_citri
215250	Basidiomycota	Exobasidiomycetes	Exobasidiales	Cryptobasidiaceae	Acaromyces	Acaromyces_ingoldii
5476	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_albicans
6248	Nematoda	Chromadorea	Rhabditida	Strongyloididae	Strongyloides	Strongyloides_stercoralis
429571		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_8
59818	Arthropoda	Arachnida	Sarcoptiformes	Acaridae	Tyrophagus	Tyrophagus_putrescentiae
374461	Ascomycota	Saccharomycetes	Saccharomycetales	Trichomonascaceae	Zygoascus	Zygoascus_meyerae
4903	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Cyberlindnera	Cyberlindnera_jadinii
104688	Arthropoda	Insecta	Diptera	Tephritidae	Bactrocera	Bactrocera_oleae
7224	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila_hydei
45450	Arthropoda	Insecta	Diptera	Calliphoridae	Chrysomya	Chrysomya_rufifacies
4959	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_hansenii
1708541	Basidiomycota	Wallemiomycetes	Wallemiales	Wallemiaceae	Wallemia	Wallemia_mellicola
391824	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	[Candida]_blattae
86788	Ascomycota	Lecanoromycetes	Lecanorales	Ramalinaceae	Ramalina	Ramalina_intermedia
4932	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	Saccharomyces_cerevisiae
52283	Arthropoda	Arachnida	Sarcoptiformes	Sarcoptidae	Sarcoptes	Sarcoptes_scabiei
2070753	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_sclerotialis
482145	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_taichungensis
273372	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Candida	Candida_metapsilosis
29917	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_cladosporioides
944170		Bigyra	Opalinata	Blastocystidae	Blastocystis	Blastocystis_sp._subtype_4
857276	Apicomplexa	Conoidasida	Eucoccidiorida	Cryptosporidiidae	Cryptosporidium	Cryptosporidium_ubiquitum
214993	Basidiomycota	Tremellomycetes	Tremellales	Rhynchogastremataceae	Papiliotrema	Papiliotrema_flavescens
460519	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Komagataella	Komagataella_phaffii
63990	Arthropoda	Insecta	Lepidoptera	Saturniidae	Samia	Samia_ricini
265458	Arthropoda	Insecta	Diptera	Cecidomyiidae	Contarinia	Contarinia_nasturtii
1105325	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Cordyceps	Cordyceps_confragosa
58918	Basidiomycota	Exobasidiomycetes	Golubeviales	Golubeviaceae	Golubevia	Golubevia_pallescens
307937	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Dactylonectria	Dactylonectria_macrodidyma
46582	Ascomycota	Saccharomycetes	Saccharomycetales	Metschnikowiaceae	Clavispora	Clavispora_fructus
34739	Arthropoda	Insecta	Lepidoptera	Saturniidae	Antheraea	Antheraea_mylitta
28584	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila	Drosophila_suzukii
36987	Arthropoda	Insecta	Blattodea	Rhinotermitidae	Coptotermes	Coptotermes_formosanus
1633207	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	Pestalotiopsis_sp._JCM_9685
51031	Nematoda	Chromadorea	Strongylida	Ancylostomatidae	Necator	Necator_americanus
1072105	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Lachancea	Lachancea_dasiensis
1041607	Ascomycota	Saccharomycetes	Saccharomycetales	Phaffomycetaceae	Wickerhamomyces	Wickerhamomyces_ciferrii
73868	Chytridiomycota	Neocallimastigomycetes	Neocallimastigales	Neocallimastigaceae	Piromyces	Piromyces_sp._E2
108974	Arthropoda	Insecta	Hymenoptera	Agaonidae	Pleistodontes	Pleistodontes_nigriventris
393283	Ascomycota	Sordariomycetes	Xylariales	Sporocadaceae	Pestalotiopsis	Pestalotiopsis_fici
41413	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_glaucus
45276	Ascomycota	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Acremonium	Acremonium_furcatum
93591	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Lecanicillium	Lecanicillium_fungicola
907947		Oomycetes	Pythiales	Pythiaceae	Phytopythium	Phytopythium_vexans
182096	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Aspergillus	Aspergillus_chevalieri
326628	Ascomycota	Sordariomycetes	Xylariales	Hypoxylaceae	Annulohypoxylon	Annulohypoxylon_stygium
1489893	Ascomycota	Dothideomycetes	Pleosporales	Nigrogranaceae	Nigrograna	Nigrograna_mackinnonii
27299	Ascomycota	Saccharomycetes	Saccharomycetales	Debaryomycetaceae	Debaryomyces	Debaryomyces_nepalensis
